Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.16.198.96           5   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.197.99          18   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.49          16   0050.56b3.3436  ARPA   Vlan152
Internet  161.16.150.63           9   0025.904f.106a  ARPA   Vlan150
Internet  161.16.153.48           0   d89d.6770.21c4  ARPA   Vlan153
Internet  161.16.152.48           0   0050.56b3.2822  ARPA   Vlan152
Internet  161.16.150.62          19   0060.1649.e590  ARPA   Vlan150
Internet  161.16.153.49           0   d89d.6770.711c  ARPA   Vlan153
Internet  161.16.154.50           3   0050.56b3.2e32  ARPA   Vlan154
Internet  161.16.150.61           0   001b.21a4.2f7c  ARPA   Vlan150
Internet  161.16.154.49           6   0050.56b3.3d0a  ARPA   Vlan154
Internet  161.16.153.50           0   d89d.6770.56a4  ARPA   Vlan153
Internet  161.16.197.111          8   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.50           0   0050.56b3.7787  ARPA   Vlan152
Internet  161.16.153.51           0   d89d.6770.4724  ARPA   Vlan153
Internet  161.16.199.106          6   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.154.55           3   1060.4bb4.02c0  ARPA   Vlan154
Internet  161.16.153.52           2   80c1.6e68.a634  ARPA   Vlan153
Internet  161.16.152.53           1   0050.56b3.025d  ARPA   Vlan152
Internet  161.16.150.58           9   fc15.b48d.5a78  ARPA   Vlan150
Internet  161.16.153.53           2   80c1.6e68.066c  ARPA   Vlan153
Internet  161.16.154.54           0   0050.56b3.61f2  ARPA   Vlan154
Internet  161.16.153.54           0   0050.56b3.4352  ARPA   Vlan153
Internet  161.16.154.53           0   0050.56b3.65b2  ARPA   Vlan154
Internet  161.16.197.107          2   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.154.52           4   0050.56b3.0b06  ARPA   Vlan154
Internet  161.16.152.54           2   30f7.0d08.c29c  ARPA   Vlan152
Internet  161.16.150.7            0   Incomplete      ARPA   
Internet  161.16.197.84           0   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.161.49           -   0000.0c07.aca1  ARPA   Vlan461
Internet  161.16.150.6            0   0025.b4cc.1340  ARPA   Vlan150
Internet  161.16.152.11          16   0010.f327.4a48  ARPA   Vlan152
Internet  161.16.161.50           -   0025.b4cc.1440  ARPA   Vlan461
Internet  161.16.150.5            -   0025.b4cc.1440  ARPA   Vlan150
Internet  161.16.152.10           0   00a0.6901.3870  ARPA   Vlan152
Internet  161.16.161.51           4   0025.b4cc.1340  ARPA   Vlan461
Internet  161.16.152.13           8   000d.7c00.8c62  ARPA   Vlan152
Internet  161.16.153.12          12   001e.67bc.a99f  ARPA   Vlan153
Internet  161.16.161.52          15   f0f7.5587.4080  ARPA   Vlan461
Internet  161.16.153.13           1   0025.9028.cafa  ARPA   Vlan153
Internet  161.16.161.53          20   f0f7.5587.4481  ARPA   Vlan461
Internet  161.16.152.12          10   0010.f327.4a48  ARPA   Vlan152
Internet  161.16.150.2           16   547f.ee48.2a41  ARPA   Vlan150
Internet  161.16.152.15           4   000a.49b0.d086  ARPA   Vlan152
Internet  161.16.150.1            -   0000.0c07.ac96  ARPA   Vlan150
Internet  161.16.161.54          10   0000.0c9f.f489  ARPA   Vlan461
Internet  172.17.150.12           -   0025.b4cc.1440  ARPA   Vlan741
Internet  161.16.152.14           9   000d.7c00.928a  ARPA   Vlan152
Internet  161.16.150.15          15   f44e.05e9.7bfd  ARPA   Vlan150
Internet  161.16.152.1            -   0000.0c07.ac98  ARPA   Vlan152
Internet  161.16.150.14           0   Incomplete      ARPA   
Internet  161.16.153.1            -   0000.0c07.ac99  ARPA   Vlan153
Internet  172.17.150.1            3   00f2.8bca.0800  ARPA   Vlan741
Internet  161.16.154.1            -   0000.0c07.ac9a  ARPA   Vlan154
